description,category,civic_issue
"In  sreet  garbage   dump
",Waste/Garbage,1
This road have a dustbin because this street not dustbin please put dustbin,Waste/Garbage,1
Stucking of Water,Water,1
The garbage works is not clean the garbage.,Waste/Garbage,1
It's diffecult to walk on the path,Water,1
The road is have a hole please close the hole,Potholes,1
In the dustbin there is a hole from that dust is coming out side. And there is only two bins it is not possible for an area. And it makes very bad smell. And the bins are taken for only 2 days a week,Waste/Garbage,1
That car tn 02 bb 8278 that car Park at no parking,Traffic/Parking,1
"Garbage disposal
Very smelly 
Very dirty
Covers the whole road",Waste/Garbage,1
This two car Park at foot path,Traffic/Parking,1
The dustbin is broken,Waste/Garbage,1
"From this many deciss will cause and even mosquitoes will produce more and more so,please take care of this problems.",Waste/Garbage,1
This side very bad smell because the sewage is over flow,Sewage,1
There are a lot if potholes towards are school NPS yelahanka. Near udupi grand.,Potholes,1
Dustin is there but people are throwing waste out of the dustbin.,Waste/Garbage,1
Waste are around the dustbin.,Waste/Garbage,1
"No waste inside the dustbin,
Everything is outside or over the dustbin.",Waste/Garbage,1
"Simply doing garbage not cleaned
",Waste/Garbage,1
Due to this many people get asthma,Air,1
Due to this whenever it rains water stagnates there and during night people who travel with the help of bikes or two wheeler tends to fall down many times.Due to this the vehicle is also damaged.,Potholes,1
It stinks whenever anyone pass through it. That too it is a lane and there are many vehicles which pass through and it can be dangerous as it can spread many diseases.,Waste/Garbage,1
The whole locality is filled with garbage and in order to clear the land they even burn it causing air and plastic pollution.,Waste/Garbage,1
Switch off switches when not needed,Streetlights,1
Street lights is not blow in 1 week,Streetlights,1
Switch off switches when not in use.,Streetlights,1
Appreciate contributions,Air,1
This is bad smell,Waste/Garbage,1
Most of people garbage put there,Waste/Garbage,1
Garbage dump on road side,Waste/Garbage,1
There was garbage being dumped on the sidewalks of the road,Waste/Garbage,1
"This is on a main road and the garbage in the bin is less than the garbage in the road.There should be awareness created to people about this.If the awareness is created,India will become another USA!",Waste/Garbage,1
This is something which I saw in the next road as of my previous complain when I was walking next to them.India should change.,Waste/Garbage,1
Garbage issue,Waste/Garbage,1
Look at the trash next to the dust bin. It is a pleasent road but the garbage makes it look ugly. Please follow swatch bharat!!,Waste/Garbage,1
These manholes are broken and weak and if anyone walks above them then they might fall inside it. So I wish the concerned authorities take action to solve this problem.,Potholes,1
Water standing on road,Water,1
Water scarcity,Water,1
Waste thrown on road,Waste/Garbage,1
"Garbage not in right place
",Waste/Garbage,1
"In our roadside there is some more garbage .please put ""do not put garbage things' so that people do not throw anything. The bad smell causes affecting to people.",Waste/Garbage,1
People 's are dumping the garbage,Waste/Garbage,1
People 's. Are dumping the garbage,Waste/Garbage,1
Street light is not blow,Streetlights,1
Lot of garbage dumping in this land,Waste/Garbage,1
Sewage is lekage,Sewage,1
"To keep a board that
Do not dump garbage",Waste/Garbage,1
" To keep a board that
Do not throw garbage",Waste/Garbage,1
Street light is not blow,Streetlights,1
This man hole is shoved with trash and is completely blocking the road and causing a nuisance,Potholes,1
Water gets clogged and it is very difficult to walk and very difficult for vehicles to come or go.,Water,1
Rain water is stalked in road as the is not proper and the road is damaged and water is stalked there . So please  take care of it.,Water,1
Roads are damaged due to heavy rain and heavy  vehicles travel on that road so the material  use for that construction is not good. Please repair  that .,Potholes,1
Society is facing  many problems from that water stakes in that manhole . So many bacteria will come from that dirty water so please repair it.,Water,1
So many waste in the dirty water . Due to rain .,Water,1
Don't waste water because it is the most valuable material in our life,Water,1
Chennai city is facing acute shortage of water and the government is not concerned about normal citizens but to the people in power only. So we have to solve our own issues instead of believing the go,Water,1
Garbage dumping in vacant lot or land,Waste/Garbage,1
Test,Waste/Garbage,1
Wires are dangling,Streetlights,1
"From this many disizes will cause . So,we should not through on the road aside.",Waste/Garbage,1
"Becoz of this many accidents  happened.so,please repair this whole.",Potholes,1
It makes irritatable and spread lotvof diseases like dengue and malaria,Waste/Garbage,1
Students in the school near that garbage and people residing in that place will be infected .,Waste/Garbage,1
Garbage dumping in vacant land. Due to the mistiming of BBMP vehicle. So please clear the waste.,Waste/Garbage,1
There is so much of garbage in this location causing difficulty in clearing them up.,Waste/Garbage,1
Because of this issue many cows are eating the plastics . So we need a larger garbage bins . ,Waste/Garbage,1
Concerned authorities should take care about this .  ,Potholes,1
Garbage on Ekya road,Waste/Garbage,1
It is very dark we cannot see anything . Many robberies take place.  ,Streetlights,1
Garbage dump,Waste/Garbage,1
As the tap leaks maximum 30 litres of water is wasted every day . Concerned authorities should take care. ,Water,1
People cannot walk freely as the vehicles are parked on the footpath,Traffic/Parking,1
People may get shock if the wires have fallen in water. Concerned authorities must take care. ,Streetlights,1
Garbage out of the dustbin,Waste/Garbage,1
Garbage burnig,Air,1
Wires are outside. If it rains. It's dangerous. Students might get shock,Streetlights,1
"Rood damage

",Water,1
All sort of  Garbage is dumped here even the garbage truck that comes does not pick up this garbage,Waste/Garbage,1
Garbage dumped in vacant lot,Waste/Garbage,1
Open drainage,Potholes,1
Huge vlow,Waste/Garbage,1
Garbage dumped on vacant lot,Waste/Garbage,1
People are unable to walk on streets at night . Many robberies take place because of this,Streetlights,1
Garbage dumped and the garbage truck doesn't care to pick it up,Waste/Garbage,1
Garbage dumped in vacant lot,Waste/Garbage,1
checking,Waste/Garbage,1
Dustbin overflow,Waste/Garbage,1
"As these garbage are dumped in this lands , bad smell comes and place becomes very dirty
",Waste/Garbage,1
No street lights on silk farm road.,Streetlights,1
To clear all it and if they cannot  they should not  burn it. steps should be taken,Waste/Garbage,1
"Lot of garbage, manholes and unhygiene in this area... Pavement of silk farm road.",Potholes,1
Hanging of electric wires in front of main building,Streetlights,1
Main road - manholes.,Potholes,1
Construction going on since the past 2 years... Electric wires hanging out form poles... Near pavement of silk farm road.... Water is collected here every now and then.,Water,1
"Today there is an increase in number of lights in the city. Thus, creating a light pollution, we should stop over lighting and light only if necessary.",Streetlights,1
"This garbage bin is too sinking.This made the people keeping fingers on their nose.So, please clean the garbage bin.",Waste/Garbage,1
no proper  street light,Streetlights,1
Water shortage in my area.,Water,1
It is very dangerous to walk on the street,Streetlights,1
Leakage of water in the basement,Water,1
"I hope that government would take severe action
",Waste/Garbage,1
The major problem in manual scavenging is the health issues faced by the workers and more over the cleaning is done by human beings .,Potholes,1
Please stop it,Waste/Garbage,1
Students come for coaching classes,Potholes,1
"Students come here to coaching classes
",Potholes,1
Over flowing of garbage bins does not allow us to by the pavement.,Waste/Garbage,1
Students come here to coaching classes ,Potholes,1
Spreading of dengue. Bad smell.,Sewage,1
Our earth is destroying in front of our eyes . We have to save it..we have to save it.. u know what?  Many glaciers have melted.. and the sea level is raising..,Air,1
Please tell them to reduce throwing waste in road,Waste/Garbage,1
Please tell to government that people should not throw the waste in somewhere,Waste/Garbage,1
There is a 200 meter stretch filled with garbage,Waste/Garbage,1
We can see that in the street board people have put the waste near that. So we must take a step in it.,Waste/Garbage,1
We can see that the garbage that the garbage is full of waste. It should be clean.,Waste/Garbage,1
We see that in street board they stick the notice paper in it.Underneath there is waste below it.,Waste/Garbage,1
In my house a tap is leaking.So I took a step in it.I thought that I should report to you.,Water,1
"See guys a pile of garbage lying around 
here and there..Therefore the government has to take proper actions.There are no sufficient dustbins for the proper disposal of garbage.",Waste/Garbage,1
More water is being passed through the broken pipes fills on empty land,Sewage,1
No man holes,Potholes,1
Clear the garbage .,Waste/Garbage,1
In this place there was a hole from this  two vehicles can cross in a time and the side of the hole  is covered with leaf and there was a  handpump so that the place become very watery.,Potholes,1
People  come here for eating,Potholes,1
People come here for eating,Potholes,1
 People come here to eating,Potholes,1
People come here to eating,Potholes,1
"Waste
",Waste/Garbage,1
Overflowing garbage bin,Waste/Garbage,1
"People come here for eating
",Potholes,1
Clear the dunp.,Waste/Garbage,1
I can’t say anything about this because it smells????,Waste/Garbage,1
Due to this problem people are suffering from asthma and diseases like malaria dengue and traffic problem,Waste/Garbage,1
"Save water .
Save life
Save earth
Guys save every drop of water .If we do not have water ,then  in the future we don't have water to drink
So friend please save water",Water,1
"Please clear the road side dust bin near MPS house, THADHANKUPPAM, NEAR 100 FEET ROAD THERE IS A GARBAGE DUMP",Waste/Garbage,1
Drinage is leaking throught the road and it started stinking people avoid to use this road .,Sewage,1
Garbage thrown beside GHPS Palanhalli school,Waste/Garbage,1
In the area people were parking there vehicle wrongly. Already this area was short . More vehicles can not cross in a same time .,Traffic/Parking,1
Garbage throun beside Palanahalli school,Waste/Garbage,1
"Children come to play there
",Waste/Garbage,1
"This dustbin has not been cleared for the past few weeks.
It has market nearby and the flies contaminate the vegetables and fruits.",Waste/Garbage,1
People here go for a walk,Waste/Garbage,1
Switch off vehicles during traffic,Air,1
pls solve the problem ,Streetlights,1
Manholes in the road which is not repaired for the past 3 years,Potholes,1
Repair the manholes,Potholes,1
The light is not repaired for the past 6 months and the government must add more streetlight because our street is around 100m and there are only 2 streetlights,Streetlights,1
The garbage ia being dumped on the lot for more than 15 years,Waste/Garbage,1
The bin has overflowed and the bin has been damaged severely,Waste/Garbage,1
"Close the dripping taps and ensure a regular maintenance of water leakage


",Water,1
"Hey guys ""BE A PART OF SOLUTION NOT THE POLLUTION""
When ever you want to go near distances go by walking or cycling.By walking or cycling we can relax our muscles.Do not use vehicles",Air,1
"BE A PART OF SOLUTION ,NOT THE POLLUTION",Air,1
In this place there is a potholes so this peoples can not walk or stand in the place and vehicles can not park in the place,Potholes,1
In this area there was a huge hole by this peoples can not park the vehicle and the side of the hole is covered by leaf and plants. And there is full of dust,Potholes,1
People dump garbage from their cars which blocks drains and floods the road,Waste/Garbage,1
"Today most of the people litter the whole place 
We as people should not throw waste
Also,I see that many plastics have been thrown on grounds and the cows which eat those die!",Waste/Garbage,1
Overflowing dustbins,Waste/Garbage,1
Overflowing  dustbin,Waste/Garbage,1
In our area there was a handpump in water will come regularly but in a week only 3 days the water will clean.On balance days the water will become sewage  water so that we can't  use the water,Sewage,1
There i s a garbage  here,Waste/Garbage,1
Garbage is dumped,Waste/Garbage,1
"The wall was rebuilt before a few months ago, but the unused cement and bricks are thrown out there near the wall.",Waste/Garbage,1
The street lights are not put on in the evening. A few months ago the street lights were broken. Now authorities are not checking it.,Streetlights,1
This tap leaks until some amount of force is applied on it.,Water,1
Garbage,Waste/Garbage,1
Most of the garbage put here,Waste/Garbage,1
People 's are put garbage in this area,Waste/Garbage,1
Clean it ,Waste/Garbage,1
Please solve this problem,Waste/Garbage,1
There is a big hole,Potholes,1
Bad smell ,Sewage,1
Please close the hole,Potholes,1
Parking on footpath,Traffic/Parking,1
Potholes,Potholes,1
Street light not working,Streetlights,1
Wrong Parking,Traffic/Parking,1
People can't use the old bridge because it id full of sewage and new bridge is full of water. People from different place can't come to learn through this problem,Sewage,1
Potholes,Potholes,1
Manholes,Potholes,1
People throw trash onto roads which during rains block the drainage and therefore cause floods on the roads.,Water,1
To clean this garbage,Waste/Garbage,1
"Air pollution occurs when harmful or excessive quantities of substances including gases, particles, and biological molecules are introduced into Earth's atmosphere. It may cause diseases, and allergie",Air,1
In my locality I get a few days of water. In that  water is not pure,Water,1
No lights and traffic on road,Streetlights,1
Recycling papers,Potholes,1
"No one is clearing the waste!
Many plastics are throwed at the roads.
Cows which it those are dying
Pls I strongly appeal to the corporation to clean those waste 
We should be clean and healthy",Waste/Garbage,1
I saw cows chocking and spit out this plastic. So plz take action  . Even dogs and crows,Waste/Garbage,1
Clearance of garbage,Waste/Garbage,1
I some roads there is many garbage is dumped please do someone ,Waste/Garbage,1
Disturbing,Traffic/Parking,1
In this area so much of water scarcity in a week only 3 days lorry is coming that also one and peoples are shouting for a long time and peoples were not able to get full water.,Water,1
"From this we should face many problems .so,please clear this.",Waste/Garbage,1
"Pls clear this garbage in this area where there are many ???? and it's stinking too bad ...
",Waste/Garbage,1
Beside a shop,Waste/Garbage,1
Throwing waste over the dustbin.,Waste/Garbage,1
Garbage left for a long time,Waste/Garbage,1
Uncleared garbage,Waste/Garbage,1
People throw garbage from their house terrace in vacant areas.,Waste/Garbage,1
People throw garbage in vacant areas.,Waste/Garbage,1
Parking on the footpaths should be strictly prohibited,Traffic/Parking,1
People nowadays are dumping and throwing their plastic bags and polyethylene covers carelessly and wantonly. So I ask the concern authorities to take action on this.,Waste/Garbage,1
Near my house a garbage is clean but the waste is throwing out of it.,Waste/Garbage,1
"It should be cleared up every day. It is near avin booth near ibaco in Conron Smith Road , Gopalapurm Chennai-86.",Waste/Garbage,1
This place is in tenampet market side corner.Bad smell is coming mosquitoes are breeding in .small children and very old people are falling sick .so kindly clean the garbage in that area .pls .,Waste/Garbage,1
We can create a campaign raising awareness about the harmful effects of dumping garbage.we could also fine people with the help of the police department who dump garbage in vacant lands.,Waste/Garbage,1
"To clean the area
",Waste/Garbage,1
Clean,Waste/Garbage,1
Clean,Waste/Garbage,1
Clean,Waste/Garbage,1
Clean,Waste/Garbage,1
This can be prevented by fining people who dump garbage with the help of the police department.,Waste/Garbage,1
"From this many things r happening like producing more mosquitoes, different deciss. So,please clear this garbage.",Waste/Garbage,1
From this the air is getting polluted. Please clear think garbage.,Waste/Garbage,1
In this area peoples were dumping the waste and stones so that peoples can not walk in that place,Waste/Garbage,1
Clean this area... Don't mentioned in tha area... Please clean the area...,Waste/Garbage,1
"Sir ಮರ ???? ಗಿಡಗ ಮೇಲೆ ಬಟ್ಟೆ ತುಂಡುಗಳನ್ನು ಹೇಸೆದಿದ್ದಾರೇ.. ಅದನ್ನು ಸ್ವಚ್ಛ ಗೋಳಿಸಿ   
       ಅಗೆಯೇ  ಇದ್ದರೆ ಗಾಳಿ ಬರುವುದಿಲ್ಲ",Waste/Garbage,1
"EB junction Box totally opened, No one cares for that, not safe for public, easily accident can occur",Streetlights,1
ರೋಡ್ ಸೈಡ್ .. . ಕಾಂಗ್ರೆಸ್ ಗಿಡಗಳು ತೆಗೆಯಿರಿ ಅದರಿಂದ. ..  ಸೊಳ್ಳೆ. ಹೆಚ್ಚಾಗುತ್ತವೆ. ಕ್ರಿಮಿ ಕೀಟಗಳ ಹಾವಳಿ ತಪ್ಪಿಸಬೇಕು.. . Please clean the area.. ,Traffic/Parking,1
The garbage is been dumped in the empty area opposite to my house. It's been a big disturbance for us,Waste/Garbage,1
ನೋಡಿ ಇಲ್ಲಿ ಕರೆಂಟ್ ಕಂಬದ ಪಕ್ಕ. .. ಸಿಂಗಲ್ ಕಂಬ ಇದ್ದಿದ್ರೆ ಏನು ಆಗಲ್ಲ ಅದ್ರೆ ಟಾನ್ಸ್ಪರ್ ಬಾಕ್ಸ್ ಕೆಳಗಡೆ ಇದೆ ಅಲ್ಲಿಗೆ ಬಂದ ನೀವೇ ನೋಡಿ.. . Please clean the area.. .,Waste/Garbage,1
Manholes in my area is not maintained. It is causing foul smells and what not,Potholes,1
Near mogapair DAV Boys School Senior Secondary School there is a footpath. During morning and evening parents of the school are travelling and parking their two-wheelers on the footpath to drive quick,Traffic/Parking,1
We should not through the things on the roads here and there.,Waste/Garbage,1
We should not through the things on the roads here and there. From this many deciss will cause and even mosquitoes will produce.,Waste/Garbage,1
Reduce this throwing the garbage here and there.,Waste/Garbage,1
We should not through the things on the roads here and there. From this many deciss will cause and even mosquitoes will produce more and more.,Waste/Garbage,1
"People find it difficult to go through the water logged area especially old aged people find it difficult..
Transportation became very difficult..",Water,1
They are dumping the garbage in lot of land,Waste/Garbage,1
They are dumping the garbage in this area,Waste/Garbage,1
Water flooding in foot path,Water,1
Their is a potholes big hole,Potholes,1
Most of people 's are put the garbage there,Waste/Garbage,1
Manholes,Potholes,1
We should clearly it,Waste/Garbage,1
Roads aur small  and damage,Water,1
This dustbin have a big hole,Waste/Garbage,1
The wall was rebuilt before but the unused cement and bricks are thrown out there near the wall.,Waste/Garbage,1
They have dug the hole for some reason and they didn't take the mud and fill it with cement,Potholes,1
All peoples are putting together the garbage there even if garbage collection is happening everyday,Waste/Garbage,1
Because of this people don't that were to throw the watse so people start to throw the waste a side and start spoiling the round so it cause people various diseases,Waste/Garbage,1
"In comunity drainage water come to into road
",Sewage,1
"There's garbage dumbed next to vvs ,munnekolalu.",Waste/Garbage,1
People dump garbage in vacant land. ,Waste/Garbage,1
Garbage dumped aside our house.,Waste/Garbage,1
People especially college students are misusing public transport ,Streetlights,1
The garbage is dumped which cause foul smell,Waste/Garbage,1
"To solve
",Waste/Garbage,1
to slove,Waste/Garbage,1
To slove,Waste/Garbage,1
No maintenance of trees,Potholes,1
No footpath,Potholes,1
There is a pothole,Potholes,1
No dustbin and responsibility,Waste/Garbage,1
No responsibility to trees,Potholes,1
Fix this,Streetlights,1
Clear this,Waste/Garbage,1
Water leakage from pipes two roads,Water,1
Blocks the path,Waste/Garbage,1
Clear this,Waste/Garbage,1
Clear this,Waste/Garbage,1
Clear this,Waste/Garbage,1
Most of people 's are put garbage,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Water,Water,1
Same,Waste/Garbage,1
Damaged,Sewage,1
Help,Water,1
Yes,Sewage,1
Always flooding,Water,1
I am stuck to it,Potholes,1
Full of garbage ,Waste/Garbage,1
Flooding,Water,1
Very strict action,Traffic/Parking,1
Clear this,Waste/Garbage,1
Clear this,Waste/Garbage,1
Clear this,Waste/Garbage,1
First this to be cleared,Waste/Garbage,1
Clear this first,Waste/Garbage,1
Because of the drainage problem the footpath is being dirty. Kindly see the problem,Sewage,1
The road got damaged due to heavy  vehicles pass over the road and the material  is not good which is used for construction of road.,Potholes,1
Roads are damaged. Due to rain and heavy vehicles.,Potholes,1
"Kindly repair these problems fast, it's taking  lot of time to repair it .",Potholes,1
They are garbage near the road side in the main road .,Waste/Garbage,1
See these types of problems and solve them fast .,Potholes,1
Nowadays people wanted to park their vehicles wherever they wanted to park,Traffic/Parking,1
Road got damaged.,Potholes,1
Food waste dumped on the road.,Waste/Garbage,1
These damages were held when metro construction started.,Potholes,1
Drainage system is not closed properly in the centre of the road.,Potholes,1
Dumping garbages under the flyover.,Waste/Garbage,1
Roads are damaged.,Potholes,1
Dumping garbages near the main  road.,Waste/Garbage,1
Because of these garbage greenery is getting spoiled so clean the garbage.,Waste/Garbage,1
Garbage dumped in bus stand due to the lack of dustbin.,Waste/Garbage,1
Near the bus stand the garbage is dumped.,Waste/Garbage,1
Throwing garbage in greenery place.,Waste/Garbage,1
Throwing garbage at the corner of the road.,Waste/Garbage,1
Polluting public place.,Waste/Garbage,1
Polluting places.,Waste/Garbage,1
Throwing all types of waste in vacant land.,Waste/Garbage,1
Polluting the places .,Waste/Garbage,1
Throwing garbage near the tree so that the tree may get polluted.,Waste/Garbage,1
There is a huge of garbage dumped over there.,Waste/Garbage,1
There is a garbage in kavimani salai . It is lying in the middle of the raod due to which it disturbs traffic and pedestrians. Garbage is not put inside the bin an uglys the road.,Waste/Garbage,1
Garbage Over flow,Waste/Garbage,1
Cars areparked on the turning by the mechanics near. Last two months people were facing a lot of problem accident due to this.some cars window s are broken and glass pieces are scattered down .,Traffic/Parking,1
There is a garbage dump near dav school which disturbs traffic during a peak time especially during school time. So please clear the garbage.,Waste/Garbage,1
"Chennai corporation should take adequate steps to remove garbage from uncleared areas 
people should be responsible and throw garbage in dust bins",Waste/Garbage,1
Branch of a tree has fallen down. This is a problem for passers. ,Waste/Garbage,1
"This is very dangerous . 
people walking on the road can get electrocuted
electricity board should attend the problem immediately and fix the electric wires 
the pole is also slanting and be fixed",Streetlights,1
"Clearing of roadside bin should be done by civic authorities
this can cause mosquito problems and spread of infectious diseases 
dengue malaria and chikungunya will become prevalent",Waste/Garbage,1
"Parking of vehicles should be avoided on the foot path 
this causes inconvenience to the pedestrians 
they have to walk on the road and face the danger of oncoming vehicles",Traffic/Parking,1
Pothile,Potholes,1
Not closed ,Sewage,1
We couldnt turn,Traffic/Parking,1
Water logging,Water,1
For the past 3 to 4 days the garbage dump is not cleared . It smells very bad . We are not able to move through that way . ,Waste/Garbage,1
"Takes up the foothpath from mornings till night
Causes traffic jam",Traffic/Parking,1
"These electric cables  are hanging so low 
if they reach further down they can electrocuted people 
they should be fixed higher up",Streetlights,1
Garbage ,Waste/Garbage,1
The people who are building apartment put their garbage into the vacant land near them and so these cause many disease and produce bad smell.,Waste/Garbage,1
 In our area there is lot of water lekage all people are not closing the tap properly. Because of the cyclone the tap are broken and flew away. So please repair the water lekage problem,Water,1
Clear,Waste/Garbage,1
Workers just throw away tiles and sacks with stones here and there this not only creates pollution but is also dangerous,Waste/Garbage,1
Please do not dump garbage,Waste/Garbage,1
This pit is dumped with garbage,Waste/Garbage,1
Please do not harm the environment,Waste/Garbage,1
Please do not harm the environment.,Waste/Garbage,1
Everyone   started putting garbage from 6 Year ,Waste/Garbage,1
As we see in this picture the smoke rises from the pump for mosquitoes so this smoke does not go for 30 mins,Air,1
Garbage dump and not collected by bbmp,Waste/Garbage,1
We should repair,Streetlights,1
This streetlight is fully covered with plants the lamp.,Streetlights,1
"Due to that rain is coming and floodoccurs
",Potholes,1
It is very difficult in rainy days,Potholes,1
People have been just throwing garbage in this empty land.They are throwing just on the road and going.The waste creates bad odour.,Waste/Garbage,1
There is a manholes,Potholes,1
THE sewage is lekeage,Sewage,1
The garbage is dumped in this empty plot which creates bad odour.Moreover it is located near a school.Thousands of children are passing through the road and this place,Waste/Garbage,1
When we have a small basins more water splashes than used so buy bigger basins and prevent water wastage,Water,1
This issue is about overflowing taps,Water,1
Please repair,Potholes,1
Please clean it,Waste/Garbage,1
Throwing garbage in empty places because they no BBMP vehicle to collect the garbage.,Waste/Garbage,1
These garbage pollute the soil.It gives a very bad smell and people near there faces many disadvantages.These garbage is very harmful which causes many diseases,Waste/Garbage,1
Most of people 's is put garbage in this area,Waste/Garbage,1
Clean  the garbage.,Waste/Garbage,1
If we take bath in sower after we off their will be some leakage of water so that by this way we can reuse the water,Water,1
The government should take care of thes cases,Streetlights,1
Please,Waste/Garbage,1
Government should take care of thes,Streetlights,1
The garbage bins are damaged and not maintained properly.They are left opened and damaged condition.This made the surroundings impure and people are suffocating by this,Waste/Garbage,1
The garbage bins are not maintained properly.They are left in damaged and often kept open,Waste/Garbage,1
From this many deciss will cause and even mosquitoes will produce more and more and more.,Waste/Garbage,1
See that the waste is behind the garbage. Because of the man who is cleaning is only cleaning inside the garbage.,Waste/Garbage,1
From this many deciss will cause and even mosquitoes will produce more and more.,Waste/Garbage,1
There is a pothole causing accidents,Potholes,1
There is also large garbage dump. The garbage is fully on roads..it smells bad..Please clear it..the dustbin is full...,Waste/Garbage,1
These garbage in the form is branches covers the road and do not allow the people to use the road fully.water stands in this and Many mosquitoes breed,Waste/Garbage,1
"So much of traffic 
Perambur barracksroad chennai
",Waste/Garbage,1
Cows are eating the plastic and may in the risk ding and people may fall sick  so let's stop dumping garbage in open land and puplic places and dump garbage in garbage Turk,Waste/Garbage,1
Cows are eating the garbage which is plastic and are getting into risk of death and people may  fall sick so let's us avoid dumping garbage in puplic places and dump  garbage in garbage truck,Waste/Garbage,1
The street lights near us is not working that much great no warranty of its life and the area Councillor have to take a step about it due to this many accidents are happening in nights...,Streetlights,1
No responsibility,Waste/Garbage,1
This issue is happening in the park and all the people who walk over there feel irritated and may get deasesed this is a open sewage,Sewage,1
An pen garbage dump this is the place where we play,Waste/Garbage,1
THE street light is not blow in this area,Streetlights,1
These cars and vans are parking on footpath,Traffic/Parking,1
Most of people 's is put garbage in this area,Waste/Garbage,1
Pothole in this area,Potholes,1
Most of the people 's is put garbage in this area,Waste/Garbage,1
Garbage dump at yelenahalli road!,Waste/Garbage,1
Transformers are blasting while buses are there so buses stand far from stop.,Streetlights,1
Water is not available,Water,1
We have to save water whenever it comes in the taps,Water,1
"Almost every lorry carrying liters and liters of water have some amount of holes in the lorry, where the water starts leaking from the lorry goes straight the roads. That water can be saved and used.",Water,1
Condition of empty sites due to carelessness of the peaple,Waste/Garbage,1
The street light is likely to fall.It is falling in the support of the wires.,Streetlights,1
Garbage is a thing which should be properly disposed. In our area garbage are dumped in open plots as a result many types of diseases and bad ordor spreads in near by residents .,Waste/Garbage,1
The long repairing of manholes had disenable  or affected the transportation,Potholes,1
This garbaging had leads to many disaes and accumulation of mosquitos,Waste/Garbage,1
This terrorize large vehicles to pass.,Streetlights,1
In raoad drainage water liking people put plastics school childrens able to walk and people,Waste/Garbage,1
Please follow the rules,Traffic/Parking,1
Garbage many plastic bad smell,Waste/Garbage,1
"People usually park their vehicles on the footpath which makes it difficult for others who walk along the path... Therefore people must learn to park their vehicles at a parking area allotted,,,.",Traffic/Parking,1
There are potholes in the kempapura main road which makes it really hard to drive and may cause accidents.,Potholes,1
There are potholes in front of green view apartments .,Potholes,1
Since the wires hang they might be a point where they do not meet also.. So people who walk might accidently get a shock ,Streetlights,1
"The following place has been regularly used as a dump yard and this has the worst impact on monsoons as the roads become swampy. This place also blocks the road, causing traffic and disturbing users.",Waste/Garbage,1
Garbage dumped,Waste/Garbage,1
"If the street lights aren't repaired,, people might face difficulties in the night time",Streetlights,1
Many people just dump garbage on the road people who walk by might get dirty or stinky... We have to reduce the use of plastics so the garbage also might get reduced ,Waste/Garbage,1
Please,Waste/Garbage,1
Garbage dump ,Waste/Garbage,1
This construction covers the road.The road cannot be used fully.The house behind finds difficulties because of the construction.This lead to over traffic.,Potholes,1
Requesting to clear,Waste/Garbage,1
When there is a heavy rain the water is leaking,Water,1
Government should take care of thes,Potholes,1
Garbage dumping,Waste/Garbage,1
Garbage disposal,Waste/Garbage,1
.people should come to know that dumping causes blockage of drains and other problems by awareness camps,Waste/Garbage,1
Vehicles parking on wrong side doesn't allow the citizens to use the road,Traffic/Parking,1
Garbage exhibits bad smell and rises many diseases,Waste/Garbage,1
"In our street there is no street light because many peoples cannot see and go. Many childrens cannot play in street light
",Streetlights,1
Here is so many air pollutions are affected so that may people are getting affected by the pollution. So band factories car bike van etc.,Air,1
This hole is deep.people who walk there in night are injured.Water stay there when there is rain.the stones are broken near it in some sides.people may skip and fall.In night this is not visible.,Potholes,1
There are many vehicles standing near my house. We have kept many no parking signs as well as board,Traffic/Parking,1
Thrown garbage near roadside.,Waste/Garbage,1
Dumping garbages and spoiling greenery.,Waste/Garbage,1
These garbage give a very bad smell which leads to breeding of mosquitoes.These garbage also covers some space in road.People do not prefer to go in this road because of the garbage.,Waste/Garbage,1
Water is getting collected because people are building with concrete cements,Water,1
Clear this,Waste/Garbage,1
There is lot of garbage dump everywhere because government is not cleaning it,Waste/Garbage,1
Not proper rainwater harvesting system in my home,Water,1
Water is getting wasted in all public toilets,Water,1
The repairing of sewage do not allow cars to go.It covers almost half of the road.It is already small road which is in side of a bridge.,Sewage,1
In my street a lots of vehicle  parking in each house they are parking 3or4 vehicles there is no place to go one vehicles so please solve this problem,Traffic/Parking,1
Water getting wasted in hotels,Water,1
Air is getting mixed with sea water which kills the organisms in water,Air,1
"This construction, block the whole road.Because of this people have to take long route.There is not even caution board in one side.The sand is all around that in one side.It is very slippery.",Sewage,1
Near my house there is is a tuition centre.  At the time of 5:00 to 6:00pm there is a lot of traffic in our road they are parking just randomly plss ta step to stop this... Many fights are happening..,Traffic/Parking,1
Dumping the garbage.,Waste/Garbage,1
Dumping garbage in road side.,Waste/Garbage,1
Dumping garbage in road side and that are eaten by animals.,Waste/Garbage,1
Dumping garbage in road side.,Waste/Garbage,1
Dumping garbage in road side and that are eaten by animals and even mosquitoes will produce more and more.,Waste/Garbage,1
"Rood damage
",Water,1
Dumping the wastage in road side .,Waste/Garbage,1
Water stays stagnant on the roads during rainy season,Water,1
From this dumping of garbage the air I'll polluted.,Air,1
"When there is a heavy rain the drainage overflow 
",Sewage,1
Dumping garbage in road.,Waste/Garbage,1
These cables which hang on the post is very dangerous.This may cause shock to anyone.These black colour cables are not visible in night.,Streetlights,1
We should report to government,Sewage,1
Manhole in side by side,Potholes,1
